raw_speciesname_europe,fit.x,NCountries,nCountriesRLEur,RedListCategoryEurope,EuropeanEndemic,Endemic,EdgeOfRange,fit.y,nCountriesRLEU,NCountriesEU,RedListCategoryEU,HabitatsDirective
Erebia albergana,9.08,8,8,LC,EuropeanEndemic,0,0,10.57,4,4,LC,0
Fabriciana elisa,9.08,2,2,LC,EuropeanEndemic,0,0,10.5,2,2,LC,IV
Polyommatus dolus,9.08,2,2,LC,EuropeanEndemic,0,0,10.5,2,2,LC,0
Spialia therapne,9.08,2,2,LC,EuropeanEndemic,0,0,10.5,2,2,LC,0
Callophrys avis,8.97,4,4,LC,0,0,0,10.67,4,4,LC,0
Cyaniris semiargus,8.8,38,38,LC,0,0,0,9.87,25,25,LC,0
Pieris krueperi,8.76,4,4,LC,0,0,0,13,2,2,LC,0
Fabriciana adippe,8.68,37,37,LC,0,0,0,8.8,24,24,LC,0
Erebia ligea,8.56,30,30,LC,0,0,0,10.4,19,19,LC,0
Pseudochazara amalthea,8.43,6,6,0,EuropeanEndemic,0,0,9.17,3,3,0,0
Coenonympha rhodopensis,8.23,10,10,LC,EuropeanEndemic,0,0,9.37,5,5,LC,0
Boloria graeca,8.17,9,9,LC,0,0,0,8.12,4,4,LC,0
Iphiclides podalirius,8.12,27,27,LC,0,0,0,12.1,17,17,LC,0
Hipparchia volgensis,8.03,9,9,LC,EuropeanEndemic,0,0,4.17,3,3,LC,0
Erebia pharte,7.85,10,10,LC,EuropeanEndemic,0,0,8.25,8,8,LC,0
Pontia callidice,7.79,9,9,LC,0,0,0,11.86,5,5,LC,0
Erynnis tages,7.76,38,38,LC,0,0,0,12,25,25,LC,0
Limenitis camilla,7.71,35,35,LC,0,0,0,8.57,24,24,LC,0
Erebia claudina,7.56,2,2,NT,EuropeanEndemic,0,0,10.5,2,2,NT,0
Apatura iris,7.28,36,36,LC,0,0,0,8.07,25,25,LC,0
Brintesia circe,7.17,24,24,LC,0,0,0,6.05,14,14,LC,0
