"scientificName","taxonID","countryCode","establishmentMeans","source"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","PL","Breeding","Glowaciñski (2002); Sielezniew (pers. Comm)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","RO","Breeding","Rakosy (2002)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","RS","Breeding","Jakšic (2003); Popovic et al. (2017)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","SE","Breeding","Ahrné et al. (2015)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","SI","Breeding","Anonymous (2002); Verovnik et al. (2012)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","SK","Breeding","Hernik Kalivoda (pers. comm.)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","UA","Breeding","Popov & Geryak (pers. comm.)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","CZ","Breeding","Beneš and Konvicka (2017)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","ES","Breeding","Verdú & Galante (2009); Verdú et al. (2011)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","CY","Breeding",
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","MD","Breeding",
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","ME","Breeding",
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","RU","Breeding","Iliashenko & Iliashenko (2000); Danilov-Danilian (2001)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","AT","Breeding","Zulka et al. 2003; Höttinger and Pennerstorfer (2005)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","NL","Breeding","Bos et al. (2006)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","BY","Breeding","Kulak & Yakovlev (2018)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","MK","Breeding","Krpac & Darcemont (2011)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","MT","Breeding",
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","AL","Breeding","Anonymous (2013)"
"Colias crocea","red-lists-european-butterflies-checklist:taxon:0557f1f5c5bea5f62b851b2ac8297f82","FR","Breeding","UICN France (2012)"
"Colias crocea","red-lists-european-butterflies-checklist:taxon:0557f1f5c5bea5f62b851b2ac8297f82","HR","Breeding","Šašic et al. (2015a)"
"Colias crocea","red-lists-european-butterflies-checklist:taxon:0557f1f5c5bea5f62b851b2ac8297f82","IT","Breeding","Bonelli et al. (in press)"
"Colias crocea","red-lists-european-butterflies-checklist:taxon:0557f1f5c5bea5f62b851b2ac8297f82","UA","Breeding","Popov & Geryak (pers. comm.)"
"Colias crocea","red-lists-european-butterflies-checklist:taxon:0557f1f5c5bea5f62b851b2ac8297f82","AD","RegularMigrant","Dantart & Jubany (2012)"
"Colias crocea","red-lists-european-butterflies-checklist:taxon:0557f1f5c5bea5f62b851b2ac8297f82","BE","RegularMigrant","Fichefet et al. (2008); Maes et al. (2012)"
"Colias crocea","red-lists-european-butterflies-checklist:taxon:0557f1f5c5bea5f62b851b2ac8297f82","DE","RegularMigrant","Reinhardt & Bolz (2011)"
