"raw_speciesname_local","raw_speciesname_europe","taxonID","language","license","rightsHolder","datasetID","datasetName","nomenclaturalCode"
"Boloria frigga","Boloria frigga","species-lists-red-list-butterflies:taxon:2baa87242b6efff95ebb0ecd5d92d50b","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Chortobius tullia","Coenonympha tullia","species-lists-red-list-butterflies:taxon:2c1010d68523f157babdc6312c34bc80","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Aricia anteros","Aricia anteros","species-lists-red-list-butterflies:taxon:2c8ec7c9230f4636ba467dd335b29d84","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Melitaea phoebe","Melitaea phoebe","species-lists-red-list-butterflies:taxon:2de22f70878fd27446ae29d8720b1218","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Boloria dia","Boloria dia","species-lists-red-list-butterflies:taxon:2ebca3c17cbe26762f51fcd1815b6654","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Allancastria cerisy","Zerynthia cerisy","species-lists-red-list-butterflies:taxon:2f017628f378f6475a3c14e8cf560bfa","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Issoria eugenia","Issoria eugenia","species-lists-red-list-butterflies:taxon:3050c088c1222ae2d18d8b19ee1d6546","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Lasiommata megera","Lasiommata megera","species-lists-red-list-butterflies:taxon:311e1ddc9b794fe5ad02be8931c7e877","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Aglais io","Aglais io","species-lists-red-list-butterflies:taxon:313b5c3d9d2b299ecb8018413ad136ba","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Euchloe ausonia","Euchloe ausonia","species-lists-red-list-butterflies:taxon:314ee63f9007024abd8cca41ec473a23","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Danaus plexippus","Danaus plexippus","species-lists-red-list-butterflies:taxon:3189f65891d9d7f4040f862c81f87c23","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Erebia aethiopella","Erebia aethiopella","species-lists-red-list-butterflies:taxon:3232f6f76e921768833aee248f6ca001","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Aricia cramera","Aricia cramera","species-lists-red-list-butterflies:taxon:32e789a2cb9dc81add6fef82b83d1e59","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Satyrus ferula","Satyrus ferula","species-lists-red-list-butterflies:taxon:32e7aa052a78e4230e9709d70d8763db","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Erebia medusa polaris","Erebia polaris","species-lists-red-list-butterflies:taxon:33964cd5755e605900b7ff09304578f1","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Erebia fasciata","Erebia fasciata","species-lists-red-list-butterflies:taxon:33f1ee1889d4b107a71997086cd2a0dd","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Erebia arvernensis","Erebia arvernensis","species-lists-red-list-butterflies:taxon:349dc3d08b395343475ee403e5c78f1d","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Maculinea alcon","Phengaris alcon","species-lists-red-list-butterflies:taxon:3514ac9d4b6c2c34a9941c84f8976b95","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Cupido lorquinii","Cupido lorquinii","species-lists-red-list-butterflies:taxon:355e2556ba7b30f245630f5367a04c56","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Apatura iris","Apatura iris","species-lists-red-list-butterflies:taxon:35a1b9db83778501c2bc8000c29b4901","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Melanargia larissa","Melanargia larissa","species-lists-red-list-butterflies:taxon:367fbafbb7af132a72ed1851cb300d6b","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
