"usageKey","scientificName","rank","order","matchType","phylum","kingdom","genus","class","confidence","synonym","status","family","scientificNameLocal","scientificNameEU","license","rightsHolder","accessRights","datasetName","occurrencestatus","language","datasetID","kingdom1","phylum1","class1"
1912428,"Boloria alaskensis (Holland, 1900)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Boloria","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Boloria alaskensis","Boloria alaskensis","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1912372,"Boloria aquilonaris (Stichel, 1908)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Boloria","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Boloria aquilonaris","Boloria aquilonaris","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
4299565,"Boloria chariclea (Schneider, 1794)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Boloria","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Boloria chariclea","Boloria chariclea","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1902791,"Brenthis daphne (Bergstrasser, 1780)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Brenthis","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Boloria daphne","Brenthis daphne","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
5772890,"Boloria dia (Linnaeus, 1767)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Boloria","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Boloria dia","Boloria dia","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
4299535,"Boloria eunomia (Esper, 1799)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Boloria","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Boloria eunomia","Boloria eunomia","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
5772893,"Boloria euphrosyne (Linnaeus, 1758)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Boloria","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Boloria euphrosyne","Boloria euphrosyne","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
4299599,"Boloria freija (Becklin, 1791)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Boloria","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Boloria freija","Boloria freija","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
4299576,"Boloria frigga (Becklin, 1791)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Boloria","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Boloria frigga","Boloria frigga","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1912395,"Boloria graeca (Staudinger, 1870)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Boloria","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Boloria graeca","Boloria graeca","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
8189761,"Brenthis hecate (Denis & Schiffermuller, 1775)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Brenthis","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Boloria hecate","Brenthis hecate","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
4299581,"Boloria improba (Butler, 1877)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Boloria","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Boloria improba","Boloria improba","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1902749,"Brenthis ino (Rottemburg, 1775)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Brenthis","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Boloria ino","Brenthis ino","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1912470,"Boloria napaea (Hoffmannsegg, 1804)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Boloria","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Boloria napaea","Boloria napaea","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1912410,"Boloria pales (Denis & Schiffermuller, 1775)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Boloria","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Boloria pales","Boloria pales","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
4299553,"Boloria polaris (Boisduval, 1828)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Boloria","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Boloria polaris","Boloria polaris","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1912325,"Boloria selene (Denis & Schiffermuller, 1775)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Boloria","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Boloria selene","Boloria selene","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
