scientific_name,status,endemic,rlc,rlc_numeric,rlc_eur,rlc_eu27,country_code,country_name,part_of_eu,area
Erebia epiphron,P,,LC,1,LC,LC,FR,France,y,551394
Erebia epiphron,P,,NT,20,LC,LC,GB,United Kingdom,y,244820
Erebia epiphron,P,,EN,50,LC,LC,GR,Greece,y,131940
Erebia epiphron,P,,LC,1,LC,LC,HR,Croatia,y,56594
Erebia epiphron,P,,LC,1,LC,LC,IT,Italy,y,301318
Erebia epiphron,P,,NRLA,,LC,LC,LI,Liechtenstein,,160
Erebia epiphron,P,,NRLA,,LC,LC,ME,Montenegro,,13812
Erebia epiphron,P,,Unknown,1,LC,LC,MK,North Macedonia,,25713
Erebia epiphron,P,,VU,30,LC,LC,PL,Poland,y,312685
Erebia epiphron,P,,NT,20,LC,LC,RO,Romania,y,238392
Erebia epiphron,P,,NT,20,LC,LC,RS,Serbia,,88361
Erebia epiphron,P,,NT,20,LC,LC,SI,Slovenia,y,20273
Erebia epiphron,P,,VU,30,LC,LC,SK,Slovakia,y,49036
Erebia epistygne,P,,NE,,NT,NT,ES,Spain,y,498468
Erebia epistygne,P,,NT,20,NT,NT,FR,France,y,551394
Erebia eriphyle,P,,NT,20,LC,LC,AT,Austria,y,83858
Erebia eriphyle,P,,LC,1,LC,LC,CH,Switzerland,,41290
Erebia eriphyle,P,,R,20,LC,LC,DE,Germany,y,357168
Erebia eriphyle,P,,LC,1,LC,LC,IT,Italy,y,301318
Erebia eriphyle,P,,NRLA,,LC,LC,LI,Liechtenstein,,160
Erebia euryale,P,,LC,1,LC,LC,AD,Andorra,,468
Erebia euryale,P,,Unknown,1,LC,LC,AL,Albania,,28748
Erebia euryale,P,,LC,1,LC,LC,AT,Austria,y,83858
Erebia euryale,P,,LC,1,LC,LC,BA,Bosnia and Herzegovina,,51129
Erebia euryale,P,,LC,1,LC,LC,BG,Bulgaria,y,110994
Erebia euryale,P,,LC,1,LC,LC,CH,Switzerland,,41290
Erebia euryale,P,,NE,,LC,LC,CZ,Czech Republic,y,78866
Erebia euryale,P,,LC,1,LC,LC,DE,Germany,y,357168
Erebia euryale,P,,NE,,LC,LC,ES,Spain,y,498468
Erebia euryale,P,,LC,1,LC,LC,FR,France,y,551394
Erebia euryale,P,,LC,1,LC,LC,GR,Greece,y,131940
Erebia euryale,P,,LC,1,LC,LC,HR,Croatia,y,56594
Erebia euryale,P,,LC,1,LC,LC,IT,Italy,y,301318
Erebia euryale,P,,NRLA,,LC,LC,LI,Liechtenstein,,160
Erebia euryale,P,,NRLA,,LC,LC,ME,Montenegro,,13812
Erebia euryale,P,,Unknown,1,LC,LC,MK,North Macedonia,,25713
Erebia euryale,P,,LC,1,LC,LC,PL,Poland,y,312685
Erebia euryale,P,,LC,1,LC,LC,RO,Romania,y,238392
Erebia euryale,P,,LC,1,LC,LC,RS,Serbia,,88361
Erebia euryale,P,,NRLA,,LC,LC,RU,Russia,,3972400
Erebia euryale,P,,LC,1,LC,LC,SI,Slovenia,y,20273
Erebia euryale,P,,LC,1,LC,LC,SK,Slovakia,y,49036
Erebia euryale,P,,LC,,LC,LC,UA,Ukraine,,603628
Erebia fasciata,P,,NRLA,,,,RU,Russia,,3972400
Erebia flavofasciata,P,,DD,1,NT,NT,AT,Austria,y,83858
Erebia flavofasciata,P,,NT,20,NT,NT,CH,Switzerland,,41290
Erebia flavofasciata,P,,VU,30,NT,NT,IT,Italy,y,301318
Erebia gorge,P,,VU,30,LC,LC,AD,Andorra,,468
Erebia gorge,P,,Unknown,1,LC,LC,AL,Albania,,28748
Erebia gorge,P,,LC,1,LC,LC,AT,Austria,y,83858
Erebia gorge,P,,VU,30,LC,LC,BA,Bosnia and Herzegovina,,51129
Erebia gorge,P,,EN,50,LC,LC,BG,Bulgaria,y,110994
Erebia gorge,P,,LC,1,LC,LC,CH,Switzerland,,41290
Erebia gorge,P,,R,20,LC,LC,DE,Germany,y,357168
Erebia gorge,P,,NE,,LC,LC,ES,Spain,y,498468
Erebia gorge,P,,LC,1,LC,LC,FR,France,y,551394
Erebia gorge,P,,EN,50,LC,LC,HR,Croatia,y,56594
Erebia gorge,P,,LC,1,LC,LC,IT,Italy,y,301318
Erebia gorge,P,,NRLA,,LC,LC,LI,Liechtenstein,,160
Erebia gorge,P,,NRLA,,LC,LC,ME,Montenegro,,13812
Erebia gorge,P,,NT,20,LC,LC,MK,North Macedonia,,25713
Erebia gorge,P,,VU,30,LC,LC,PL,Poland,y,312685
Erebia gorge,P,,NT,20,LC,LC,RO,Romania,y,238392
Erebia gorge,P,,NT,20,LC,LC,RS,Serbia,,88361
Erebia gorge,P,,LC,1,LC,LC,SI,Slovenia,y,20273
Erebia gorge,P,,VU,30,LC,LC,SK,Slovakia,y,49036
Erebia gorgone,P,,NT,20,LC,LC,AD,Andorra,,468
Erebia gorgone,P,,NE,,LC,LC,ES,Spain,y,498468
Erebia gorgone,P,,LC,1,LC,LC,FR,France,y,551394
Erebia hispania,P,,NE,,LC,LC,ES,Spain,y,498468
Erebia hispania,P,,Unknown,1,LC,LC,FR,France,y,551394
Erebia jeniseiensis,P,,NRLA,,,,RU,Russia,,3972400
Erebia lefebvrei,P,,VU,30,LC,LC,AD,Andorra,,468
Erebia lefebvrei,P,,NE,,LC,LC,ES,Spain,y,498468
Erebia lefebvrei,P,,NT,20,LC,LC,FR,France,y,551394
Erebia ligea,P,,Unknown,1,LC,LC,AL,Albania,,28748
Erebia ligea,P,,LC,1,LC,LC,AT,Austria,y,83858
Erebia ligea,P,,LC,1,LC,LC,BA,Bosnia and Herzegovina,,51129
Erebia ligea,P,,CR,80,LC,LC,BE,Belgium,y,30528
Erebia ligea,P,,LC,1,LC,LC,BG,Bulgaria,y,110994
Erebia ligea,P,,DD,1,LC,LC,BY,Belarus,,207600
Erebia ligea,P,,LC,1,LC,LC,CH,Switzerland,,41290
Erebia ligea,P,,NT,20,LC,LC,CZ,Czech Republic,y,78866
Erebia ligea,P,,NT,20,LC,LC,DE,Germany,y,357168
Erebia ligea,P,,LC,,LC,LC,EE,Estonia,y,45339
Erebia ligea,P,,LC,1,LC,LC,FI,Finland,y,338145
Erebia ligea,P,,LC,1,LC,LC,FR,France,y,551394
Erebia ligea,P,,LC,1,LC,LC,GR,Greece,y,131940
Erebia ligea,P,,LC,1,LC,LC,HR,Croatia,y,56594
Erebia ligea,Ex,,RE,100,LC,LC,HU,Hungary,y,93030
Erebia ligea,P,,LC,1,LC,LC,IT,Italy,y,301318
Erebia ligea,P,,NRLA,,LC,LC,LI,Liechtenstein,,160
Erebia ligea,P,,DD,1,LC,LC,LT,Lithuania,y,65300
Erebia ligea,P,,NRLA,,LC,LC,LV,Latvia,y,64589
Erebia ligea,P,,NRLA,,LC,LC,ME,Montenegro,,13812
Erebia ligea,P,,Unknown,1,LC,LC,MK,North Macedonia,,25713
Erebia ligea,P,,LC,1,LC,LC,NO,Norway,,385178
Erebia ligea,P,,NT,20,LC,LC,PL,Poland,y,312685
Erebia ligea,P,,LC,1,LC,LC,RO,Romania,y,238392
Erebia ligea,P,,LC,1,LC,LC,RS,Serbia,,88361
Erebia ligea,P,,NRLA,,LC,LC,RU,Russia,,3972400
Erebia ligea,P,,LC,1,LC,LC,SE,Sweden,y,449964
Erebia ligea,P,,LC,1,LC,LC,SI,Slovenia,y,20273
Erebia ligea,P,,LC,1,LC,LC,SK,Slovakia,y,49036
Erebia ligea,P,,LC,,LC,LC,UA,Ukraine,,603628
Erebia manto,P,,LC,1,LC,LC,AT,Austria,y,83858
Erebia manto,P,,VU,30,LC,LC,BA,Bosnia and Herzegovina,,51129
Erebia manto,P,,LC,1,LC,LC,CH,Switzerland,,41290
Erebia manto,P,,R,20,LC,LC,DE,Germany,y,357168
Erebia manto,P,,NE,,LC,LC,ES,Spain,y,498468
Erebia manto,P,,LC,1,LC,LC,FR,France,y,551394
Erebia manto,P,,LC,1,LC,LC,IT,Italy,y,301318
Erebia manto,P,,NRLA,,LC,LC,LI,Liechtenstein,,160
Erebia manto,P,,VU,30,LC,LC,PL,Poland,y,312685
Erebia manto,P,,VU,30,LC,LC,RO,Romania,y,238392
Erebia manto,P,,LC,1,LC,LC,SI,Slovenia,y,20273
Erebia manto,P,,VU,30,LC,LC,SK,Slovakia,y,49036
Erebia manto,P,,EN,,LC,LC,UA,Ukraine,,603628
Erebia medusa,P,,VU,30,LC,LC,AL,Albania,,28748
Erebia medusa,P,,NT,20,LC,LC,AT,Austria,y,83858
Erebia medusa,P,,LC,1,LC,LC,BA,Bosnia and Herzegovina,,51129
Erebia medusa,P,,VU,30,LC,LC,BE,Belgium,y,30528
Erebia medusa,P,,LC,1,LC,LC,BG,Bulgaria,y,110994
Erebia medusa,Ex,,RE,100,LC,LC,BY,Belarus,,207600
