"usageKey","scientificName","rank","scientificNameLocal","scientificNameEU","CountryCode","threatStatus","Endemic","occurrenceStatus","taxonID"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","FR","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","GB","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","GR","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","HR","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","HU","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","IE","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","IT","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","LI","No Red List available","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","LT","Unknown","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","LU","NT","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","LV","No Red List available","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","MD","No Red List available","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","ME","No Red List available","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","MK","Unknown","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","NL","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","NO","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","PL","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","RO","No Red List available","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","RS","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","RU","No Red List available","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","SE","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","SI","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","SK","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","UA","No Red List available","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919716,"Anthocharis damone Boisduval, 1836","SPECIES","Anthocharis damone","Anthocharis damone","AL","Unknown","","present","1919716:c552e31ddc5a123682c72c19ae42f2b4"
1919716,"Anthocharis damone Boisduval, 1836","SPECIES","Anthocharis damone","Anthocharis damone","GR","NT","","present","1919716:c552e31ddc5a123682c72c19ae42f2b4"
1919716,"Anthocharis damone Boisduval, 1836","SPECIES","Anthocharis damone","Anthocharis damone","IT","LC","","present","1919716:c552e31ddc5a123682c72c19ae42f2b4"
1919716,"Anthocharis damone Boisduval, 1836","SPECIES","Anthocharis damone","Anthocharis damone","MK","VU","","present","1919716:c552e31ddc5a123682c72c19ae42f2b4"
1919716,"Anthocharis damone Boisduval, 1836","SPECIES","Anthocharis damone","Anthocharis damone","RS","Unknown","","present","1919716:c552e31ddc5a123682c72c19ae42f2b4"
1919698,"Anthocharis euphenoides Staudinger, 1869","SPECIES","Anthocharis euphenoides","Anthocharis euphenoides","AD","LC","","present","1919698:7e62970171d5bbc77314430e0be2a3ea"
1919698,"Anthocharis euphenoides Staudinger, 1869","SPECIES","Anthocharis euphenoides","Anthocharis euphenoides","CH","NtA","","present","1919698:7e62970171d5bbc77314430e0be2a3ea"
1919698,"Anthocharis euphenoides Staudinger, 1869","SPECIES","Anthocharis euphenoides","Anthocharis euphenoides","FR","LC","","present","1919698:7e62970171d5bbc77314430e0be2a3ea"
1919698,"Anthocharis euphenoides Staudinger, 1869","SPECIES","Anthocharis euphenoides","Anthocharis euphenoides","IT","NT","","present","1919698:7e62970171d5bbc77314430e0be2a3ea"
1919706,"Anthocharis gruneri Herrich-Schaffer, 1851","SPECIES","Anthocharis gruneri","Anthocharis gruneri","AL","VU","","present","1919706:933c311969a5bc0766ceaf36bfed49bb"
1919706,"Anthocharis gruneri Herrich-Schaffer, 1851","SPECIES","Anthocharis gruneri","Anthocharis gruneri","BG","VU","","present","1919706:933c311969a5bc0766ceaf36bfed49bb"
1919706,"Anthocharis gruneri Herrich-Schaffer, 1851","SPECIES","Anthocharis gruneri","Anthocharis gruneri","GR","LC","","present","1919706:933c311969a5bc0766ceaf36bfed49bb"
1919706,"Anthocharis gruneri Herrich-Schaffer, 1851","SPECIES","Anthocharis gruneri","Anthocharis gruneri","MK","Unknown","","present","1919706:933c311969a5bc0766ceaf36bfed49bb"
