"language","license","rightsHolder","datasetID","accessRights","references","institutionCode","datasetName","taxonID","scientificName","kingdom","class","order","taxonRank","nomenclaturalCode"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Kuchlein and de Vos (1999); van Swaay (2018)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:17e58c5f0e9ebb5edf58dad0fcedd67d","Melitaea cinxia","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Pamperis (2009)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:183023b435bff099e66e91f31fea6548","Hipparchia cretica","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Székely (2008); Dinca (2017)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:18ad7ddd0d297dbe969cbda5b0e526a2","Nymphalis xanthomelas","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Dantart & Jubany (2012)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:1986ed88b63a4fb1065ed824407f7848","Aricia morronensis","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Huemer (2013); Huemer & Wiesmair (2017)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:1a35102f4838db1ca2d6b7c83cc45954","Pieris rapae","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Aarvik et al. (2017)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:1a48551081bc51d9b5f96f925e249857","Colias hecla","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Dantart & Jubany (2012)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:1a4f66605d1181435aed04b589848b20","Erebia epiphron","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Langourov and Simov (2014); Kolev (2017); Kolev and Tsvetanov (2018)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:1b1861e8c175987397db626bc5684de0","Euchloe penia","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Garcia-Pereira et al. (2003); Marabuto and Maravalhas (2008)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:1be1fed97ea2529ab9042d02798f242f","Anthocharis euphenoides","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Dantart & Jubany (2012)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:1be7f0f8773a7f86832f8b8c7e8a0dda","Melanargia lachesis","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Tennent (2005); Báez and Oromí (2010); Wiemers (pers. comm.)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:1cdf003cf49fdaa961501a4e71f29801","Hipparchia bacchus","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Székely (2008); Dinca (2017)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:1e04a07eb2c2a6390126e1053f01b4bf","Muschampia cribrellum","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Šašic and Mihoci (2011); Šašic et al. (2015a)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:1e5a990ca8507ca8e77d9557959e4626","Thymelicus acteon","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Kuchlein and de Vos (1999); van Swaay (2018)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:1e719fb81465d13618872fcaa083ad2a","Limenitis camilla","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Šašic and Mihoci (2011); Šašic et al. (2015a)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:1ebf8618a5b1edd74ee7c39de54d9873","Papilio alexanor","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Dantart & Jubany (2012)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:1ff7bd3fb0b7c7d8a301cd4382ab46b3","Brintesia circe","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Lafranchis et al. (2015)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:207f5ac5d65c5bc241badb7415f374ef","Callophrys avis","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Huemer (2013); Huemer & Wiesmair (2017)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:20bf1340e5c6d8db41e96e7bde12e4b2","Oeneis glacialis","Animalia","Insecta","Lepidoptera","species","ICZN"
