"SpeciesnameLocal";"SpeciesnameEurope";"CountryCode";"RedListCategory";"Endemic"
"Argynnis aglaja";"Argynnis aglaja";"GR";"LC";
"Argynnis aglaja";"Argynnis aglaja";"HR";"LC";
"Argynnis aglaja";"Argynnis aglaja";"HU";"LC";
"Argynnis aglaja";"Argynnis aglaja";"IE";"VU";
"Argynnis aglaja";"Argynnis aglaja";"IT";"LC";
"Argynnis aglaja";"Argynnis aglaja";"LT";"Unknown";
"Argynnis aglaja";"Argynnis aglaja";"LU";"VU";
"Argynnis aglaja";"Argynnis aglaja";"LV";"No Red List available";
"Argynnis aglaja";"Argynnis aglaja";"MD";"No Red List available";
"Argynnis aglaja";"Argynnis aglaja";"ME";"No Red List available";
"Argynnis aglaja";"Argynnis aglaja";"MK";"Unknown";
"Argynnis aglaja";"Argynnis aglaja";"NL";"CR";
"Argynnis aglaja";"Argynnis aglaja";"NO";"LC";
"Argynnis aglaja";"Argynnis aglaja";"PL";"LC";
"Argynnis aglaja";"Argynnis aglaja";"PT";"No Red List available";
"Argynnis aglaja";"Argynnis aglaja";"RO";"No Red List available";
"Argynnis aglaja";"Argynnis aglaja";"RS";"VU";
"Argynnis aglaja";"Argynnis aglaja";"RU";"No Red List available";
"Argynnis aglaja";"Argynnis aglaja";"SE";"LC";
"Argynnis aglaja";"Argynnis aglaja";"SI";"LC";
"Argynnis aglaja";"Argynnis aglaja";"SK";"LC";
"Argynnis aglaja";"Argynnis aglaja";"UA";"No Red List available";
"Argynnis elisa";"Argynnis elisa";"FR";"LC";
"Argynnis elisa";"Argynnis elisa";"IT";"NT";
"Argynnis laodice";"Argynnis laodice";"BY";"Unknown";
"Argynnis laodice";"Argynnis laodice";"CZ";"LC";
"Argynnis laodice";"Argynnis laodice";"DE";"CR";
"Argynnis laodice";"Argynnis laodice";"EE";"No Red List available";
"Argynnis laodice";"Argynnis laodice";"FI";"LC";
"Argynnis laodice";"Argynnis laodice";"HU";"NT";
